Date	index	open	high	low	close	weighted_price	high_low_spread	midquote_price	effective_spread	7_trailing	7_next_trailing	volume_btc	volume_currency
2016-04-29	150	450.27	457.52	446.68	457.29	452.04	10.83	5.42	903.76	9.37025	3.71275	14202.86503098	6425912.53
2016-04-30	151	457.36	457.7	447.79	450.29	453.45	9.91	4.96	890.67	-1.78875	9.271	12421.79682661	5639037.66
2016-05-01	152	450.33	454.68	448.35	453.61	452.22	6.33	3.17	900.89	-6.632	6.2295	6905.9246412600005	3127499.01
2016-05-02	153	453.88	454.64	439.85	444.95	445.67	14.79	7.4	875.11	-18.40175	16.99375	22170.53309305	9887589.75
2016-05-03	154	444.91	452.49	442.34	451.39	448.11	10.15	5.07	892.64	-16.9675	0.5275	19180.36649659	8596218.42
2016-05-04	155	451.54	451.97	445.57	447.63	448.2	6.4	3.2	888.85	2.69025	5.36975	12926.34708254	5795535.45
2016-05-05	156	447.77	450.21	446.45	448.93	448.32	3.76	1.88	894.1	-0.9975	6.6025	11430.32795524	5127237.61
2016-05-06	157	448.93	463.51	447.61	461.01	454.18	15.9	7.95	906.12	3.71275	-4.865	21016.067625249998	9550974.41
2016-05-07	158	460.42	462.09	457.86	459.56	459.86	4.23	2.12	914.89	9.271	-3.60975	7176.66333544	3302620.74
2016-05-08	159	459.62	461.63	456.35	459.84	458.92	5.28	2.64	914.4	6.2295	-1.63025	6457.96645685	2968048.32
2016-05-09	160	459.36	464.82	456.79	461.94	461.12	8.03	4.02	915.86	16.99375	-7.88525	16634.2349052	7668081.93
2016-05-10	161	462.1	463.42	448.06	451.92	455.59	15.36	7.68	888.48	0.5275	1.43075	17562.67245328	8001156.57
2016-05-11	162	451.81	456.68	450.82	453.0	453.78	5.86	2.93	900.13	5.36975	0.4875	16198.6832831	7354142.92
2016-05-12	163	453.01	455.57	448.61	455.53	451.69	6.95	3.48	904.11	6.6025	-20.39	13259.059838090001	5991561.28
2016-05-13	164	455.43	457.03	452.52	456.14	455.07	4.51	2.25	907.78	-4.865	-14.4865	14272.467453649999	6494995.63
2016-05-14	165	456.52	457.53	452.57	455.95	455.15	4.96	2.48	906.94	-3.60975	-13.19	7268.97468069	3312578.57
2016-05-15	166	455.87	459.61	452.59	458.21	456.79	7.02	3.51	909.4	-1.63025	-18.93975	5832.522894780001	2674011.19
2016-05-16	167	458.23	458.64	450.9	454.06	456.06	7.74	3.87	900.38	-7.88525	-10.27225	13537.080076500002	6179596.6
2016-05-17	168	453.79	455.73	451.77	453.35	453.73	3.96	1.98	902.74	1.43075	-8.22675	12471.74303381	5665650.32
2016-05-18	169	453.01	456.2	452.48	453.48	454.63	3.72	1.86	903.25	0.4875	-4.13	11760.38044943	5352121.86
2016-05-19	170	453.6	454.4	433.58	435.14	445.9	20.82	10.41	849.46	-20.39	18.08725	17852.641974989998	7983436.39
2016-05-20	171	434.7	444.28	433.27	441.66	440.56	11.01	5.51	872.3	-14.4865	30.374	13849.433708420001	6116534.41
2016-05-21	172	442.79	443.93	436.5	442.76	441.77	7.43	3.72	878.09	-13.19	78.59225	7941.37317782	3519863.28
2016-05-22	173	442.62	443.84	436.74	439.27	440.8	7.11	3.55	871.44	-18.93975	81.058	9732.77829489	4295921.06
2016-05-23	174	439.36	444.23	437.44	443.79	441.11	6.78	3.39	880.79	-10.27225	86.4075	13333.01349585	5888790.45
2016-05-24	175	443.5	446.66	441.37	445.12	444.78	5.29	2.64	884.96	-8.22675	86.3585	13065.849985519999	5818605.56
2016-05-25	176	445.06	450.2	444.76	449.35	448.07	5.44	2.72	893.26	-4.13	86.48625	12607.33078503	5658214.15
2016-05-26	177	449.23	453.6	446.97	453.23	450.84	6.62	3.31	899.83	18.08725	84.61325	12226.155328949999	5517262.74
2016-05-27	178	453.23	477.98	453.08	472.03	469.69	24.9	12.45	919.16	30.374	97.94475	34716.85740943	16332354.97
2016-05-28	179	471.67	535.1	465.17	521.36	495.78	69.93	34.96	972.78	78.59225	52.69675	43942.660158629995	21748623.46
2016-05-29	180	522.47	544.49	486.84	520.33	522.1	57.65	28.82	983.01	81.058	54.0755	29146.48697349	15205542.33
2016-05-30	181	521.64	538.78	516.17	530.19	530.07	22.6	11.3	1037.79	86.4075	54.925	19744.09534323	10461783.66
2016-05-31	182	530.4	546.31	516.53	531.48	534.56	29.77	14.89	1033.19	86.3585	46.7075	31508.99120124	16856134.85
2016-06-01	183	531.45	542.44	515.59	535.84	534.19	26.85	13.43	1044.83	86.48625	45.26875	17678.122398689997	9449291.34
2016-06-02	184	535.88	540.61	531.67	537.84	535.62	8.94	4.47	1066.75	84.61325	38.318	17011.09160719	9116833.17
2016-06-03	185	537.81	577.32	536.51	569.98	559.94	40.81	20.41	1099.14	97.94475	9.0475	33647.76755983	18819331.1
2016-06-04	186	570.23	590.56	561.83	574.05	575.05	28.73	14.37	1119.37	52.69675	36.581	20531.93488718	11808024.41
2016-06-05	187	574.37	583.51	568.01	574.41	575.88	15.5	7.75	1133.31	54.0755	97.50725	13729.715685600002	7901623.22
2016-06-06	188	574.12	586.68	574.08	585.12	582.8	12.6	6.3	1157.64	54.925	119.93475	16549.4412426	9648111.53
2016-06-07	189	585.15	591.33	542.64	578.19	579.21	48.69	24.35	1107.69	46.7075	107.23	24328.949311149998	14101091.44
2016-06-08	190	578.33	582.15	572.53	581.11	578.25	9.62	4.81	1152.6	45.26875	115.3375	11456.70825655	6629930.06
2016-06-09	191	582.35	583.01	572.88	576.16	577.39	10.14	5.07	1142.19	38.318	190.481	12908.112455310002	7455861.53
2016-06-10	192	576.75	580.96	573.08	579.02	577.7	7.88	3.94	1150.17	9.0475	170.115	14157.689987070002	8177816.24
2016-06-11	193	579.09	611.14	578.48	610.63	590.3	32.67	16.33	1188.6	36.581	145.76975	15416.230045119999	9099801.89
2016-06-12	194	610.56	683.44	605.06	671.91	643.74	78.39	39.19	1265.44	97.50725	92.00675	46355.83819215	29871941.89
2016-06-13	195	671.5	721.51	658.54	705.05	692.81	62.97	31.48	1347.14	119.93475	18.41525	50895.95446153	35271533.9
2016-06-14	196	704.72	705.15	653.31	685.42	683.16	51.83	25.92	1319.01	107.23	-18.25375	34271.82114752	23410848.74
2016-06-15	197	684.99	697.42	672.51	696.44	685.53	24.91	12.45	1367.98	115.3375	-92.9485	20197.65768674	13846499.22
2016-06-16	198	696.69	775.2	695.28	766.64	739.92	79.91	39.96	1453.37	190.481	-140.08825	53318.47023957	39418718.31
2016-06-17	199	767.81	777.61	708.36	749.14	744.88	69.24	34.62	1429.03	170.115	-81.67925	43352.44648816	32284080.23
2016-06-18	200	749.08	781.29	728.41	756.4	758.29	52.88	26.44	1459.93	145.76975	-88.34925	25629.894386080003	19435963.29
